geneID,symbol,degree
116464,Ncoa6,63
116465,Ifngr1,17
116466,Wnt2b,34
116467,Tm4sf4,1
116468,Rfc2,30
116469,Trpv5,26
116470,Stx1a,167
116472,Il17b,3
116474,Prl2a1,20
116475,Ift172,91
116477,Wnk1,82
116478,Kidins220,16
116479,F11r,98
116482,Sacm1l,33
116483,Dars1,146
116484,Txn1,132
116486,Sec14l2,3
116487,Tgfbi,226
116489,Kcnk4,3
116490,Snai1,52
116491,Kcnk6,17
116493,Gripap1,5
116498,F2rl3,8
116499,Fgf4,32
116500,Snap29,113
116501,Nherf2,21
116502,Bak1,88
116504,Mprip,96
116506,Calcr,31
116508,Nrxn3,60
116509,Slc6a9,9
116510,Timp1,64
116543,Ebf1,11
116544,Pou2f3,6
116545,Pou6f1,4
116546,Ralb,14
116547,S100a8,53
116548,Pcsk5,74
116549,Csnk2a1,100
116550,Atp5f1c,32
116551,Pdk1,20
116552,Plod1,13
116553,Il13,115
